#n WidthV3 DensityV3 WidthV3Time
1 1 1 0
2 1 0.5 0
3 4 0.6666666666666666 0
4 13 0.5416666666666666 0
5 31 0.25833333333333336 0
6 246 0.3416666666666667 0
7 1296 0.2571428571428571 0
8 10774 0.2672123015873016 0
9 83238 0.22938161375661376 0
10 788820 0.2173776455026455 0
11 6835170 0.17123541967291966 0
12 81364944 0.16986361632194966 0
13 848378532 0.13624148035606368 0
14 11423650616 0.13103779001348445 0
15 156289508025 0.11951714574327421 0
16 2380629720720 0.11378165786988952 0
17 33284133330760 0.09357691810736875 0
18 605934954285120 0.09464223460480123 0
19 9708364832948820 0.0798089261328272 0
20 190330953679235040 0.07823206731695712 0
21 3715069138923234960 0.0727148293025682 0
22 77101583995105472880 0.06859567088319593 0
23 1506549946554254503440 0.05827591563826418 0
24 37085926496811294533760 0.05977278109381981 0
25 813989318776589220602400 0.052477486701726556 0
26 20286724694924822693488800 0.05030288674660581 0
27 503710829808452894892841200 0.046259240419959324 0
28 13887195057050218869166488000 0.04554846160070847 0
29 348272721955775727439932808800 0.03938951559681948 0
30 11013343418113167554927377927200 0.04152016843818772 0
31 299525866629875593570738065758400 0.03642609070016109 0
32 9322826183877867484327026191424000 0.035430382438327176 0
33 286763650660486041097115373721689600 0.03302466444843959 0
34 9371817964591207598535556216967481600 0.031743823840297704 0
35 301268566995597210504803720693407822080 0.029155545626137116 0
36 11326316038352132010680884583190572789760 0.030447632316665568 0
37 368881447472189915401630493345851845972480 0.02680093467437541 0
38 13444922248316538295622839278511900989335040 0.02570619663340868 0
39 491421461275132665706920117858844810311878400 0.024091788516030294 0
40 19857709075853485176201075522751818794029578240 0.024337954544504055 0
41 719055699279594212207796715169675340608369940480 0.02149480987174944 0
42 31611884406214794110428530253504975830662873702400 0.022499463886160007 1
43 1206105162663567514746833472751365795076522663925760 0.01996358372880705 1
44 52377614870443718611384480162093712567870225487943680 0.019703635763630375 1
45 2303400843384995796208525457718657670456239109987123200 0.019255626811804965 2
46 102313631394535209559802424760527485279978570527215513600 0.01859361381229729 3
47 4220859784185577604289114922955343578697260749966826112000 0.016320496794961514 4
48 213966495849606562024253813099938025025661094258449891737600 0.017236019872589995 5
49 9552008913521138192380098130788166735170057346027730331648000 0.015703261067443276 6
50 479666661063419920512399022748484421688812728225741115152384000 0.015771197184218464 8
51 23100816947839245714566716383990394137898561470289970170318848000 0.014893003452430867 11
52 1185638738875026721324817542909215763200399220216081803153960960000 0.01469954826478815 14
53 55578525410829379267534275065417768858370142242619681448575125504000 0.013001179615375197 19
54 3114321293813311569201949556789675050245392967947295230178818623488000 0.013491038870498564 24
55 159872427264540547525642910182336743973417102827576918276715753651200000 0.012591946145006154 31
56 9119377122303799191154944492097727892119800625825096920740616076697600000 0.012826153636196321 39
57 493221942197043298744535425382727610803619200955519310432300459476862976000 0.012170230262324439 51
58 27653295674688959597881092447622663471357639530052458448788479717132673024000 0.011764549729743265 64
59 1446452047820216000735291994550847225570252963429248752920656008847563595776000 0.010429907136416717 84
60 94668861200165803011793930744908641725380487692270747100283011675044972380160000 0.011377119074635447 104
61 5186700108224280630903445738626466108430127147133118396880674834791450293043200000 0.01021848363356192 136
62 312035350820025500282426252619721562500633723620316522033652183840781223584116736000 0.009915335746814644 169
63 19261366285690477779593318059665275599762807345400873574396706814641734538407290880000 0.009715164682824039 219
64 1234985722704918748608184514810183020767106604477143192369635345049810587251893862400000 0.009732962263566394 278
65 74943853302723584976140271690579504230005839074962794571965670948894221752352041533440000 0.009086691108698001 355
66 5213216769369230988116269349072724168330393991338481274634380003909419257234602313646080000 0.00957704645551514 452
67 314249064867514123059668985200848396090875728907530495730136143032028522080088104047804416000 0.008616383130539449 584
68 21167694898911430218656977395884662983490413526923089315334362754791165456135511127129325568000 0.008535238522473955 728
69 1394825770653687764513214754414684459621541144582425878016418968487712313981001126158740553728000 0.008151038924827301 935
70 100517294790035665535955661469674549563259116410839166649194388636593262426139148114055344160768000 0.008391425752540354 1185
71 6420148446302318094946571129858662083507141618573344958548451210043776827493453913239484216639488000 0.0075488654654002904 1511
72 491497661462211521276690162446806857000849921622694006842368970131582899145863211422809305601540096000 0.008026488263146541 1908
73 32235232323001996058924745207702135463690102493724140099479462022862300446677820296106187042710421504000 0.007211275100284236 2437
74 2328697268051059033054785926285587081087638766090349959473601489001912590389261251560846213401761808384000 0.0070398365034716436 3064
75 171023529103156868592891169295392525725993923425628519031884249274819794477262876933959357510321403985920000 0.006893569205129502 3876
76 13026767343370529518250692684337901462730263222056175244651826403068706799655674167847417843050192851435520000 0.006908938716115134 4862
77 933327102502100403459003557072229765325014439189347729006821802398478741654507067544514582844261177133629440000 0.0064286211945414505 6260
78 76527997967861689941598350174602884008742173397787323359769090311208325726251064162203479686794080298942464000000 0.0067578680503925185 7653
79 5474091191314163573534751617507999348870885886793680702561943978892614213152647944068775448110882997148349562880000 0.006118913198154471 9713
80 454361649078287790075667944495073000843750924912610155800436185656638484848606413964401437866760528147637715599360000 0.006348541232953327 12016
81
